id,date,store_nbr,family,sales,onpromotion
981042,2014-07-06,35,HOME CARE,139.0,0
2565975,2016-12-13,6,PLAYERS AND ELECTRONICS,7.0,0
1398900,2015-02-27,1,PRODUCE,9.0,0
599986,2013-12-03,43,GROCERY II,5.0,0
2566745,2016-12-14,28,BREAD/BAKERY,413.0,3
266043,2013-05-30,23,PRODUCE,2.0,0
2112704,2016-04-03,38,FROZEN FOODS,172.0,0
135567,2013-03-18,13,BEVERAGES,377.0,0
670220,2014-01-13,14,MAGAZINES,0.0,0
95573,2013-02-23,40,BREAD/BAKERY,213.0,0
368868,2013-07-26,9,PLAYERS AND ELECTRONICS,0.0,0
230350,2013-05-10,22,EGGS,0.0,0
1564041,2015-05-30,43,CELEBRATION,0.0,0
2448254,2016-10-08,52,HOME APPLIANCES,0.0,0
993220,2014-07-13,27,LADIESWEAR,10.0,0
2075449,2016-03-13,42,GROCERY II,30.0,0
27254,2013-01-16,23,PREPARED FOODS,30.0,0
2072836,2016-03-12,2,CLEANING,890.0,3
2901653,2017-06-21,24,PREPARED FOODS,144.372,0
2962807,2017-07-25,40,BABY CARE,0.0,0
26730,2013-01-16,1,AUTOMOTIVE,1.0,0
879410,2014-05-10,33,PET SUPPLIES,0.0,0
2842961,2017-05-19,28,FROZEN FOODS,49.0,2
2776797,2017-04-12,21,GROCERY I,3622.805,92
397366,2013-08-11,9,GROCERY II,14.0,0
548658,2013-11-04,53,AUTOMOTIVE,0.0,0
2237177,2016-06-12,30,DAIRY,333.0,3
2493538,2016-11-03,23,PERSONAL CARE,170.0,8
677874,2014-01-17,29,LINGERIE,0.0,0
278519,2013-06-06,23,SEAFOOD,11.181,0
1725439,2015-08-29,22,BABY CARE,0.0,0
45238,2013-01-26,28,POULTRY,138.711,0
2693287,2017-02-24,28,PERSONAL CARE,562.0,9
2327865,2016-08-02,25,GROCERY I,1597.0,28
2039748,2016-02-22,40,HOME CARE,305.0,0
718856,2014-02-09,29,HOME APPLIANCES,0.0,0
2060190,2016-03-05,15,AUTOMOTIVE,9.0,0
2592816,2016-12-30,1,CELEBRATION,12.0,1
2308771,2016-07-22,39,PERSONAL CARE,230.0,6
1387471,2015-02-20,39,LADIESWEAR,0.0,0
166706,2013-04-04,36,MAGAZINES,0.0,0
2054892,2016-03-02,16,HOME AND KITCHEN I,13.0,0
462339,2013-09-17,31,DELI,133.471,0
1793421,2015-10-06,3,BEVERAGES,7702.0,4
991907,2014-07-12,4,PET SUPPLIES,9.0,0
1993610,2016-01-27,46,HARDWARE,0.0,0
344769,2013-07-13,32,HOME CARE,0.0,0
136300,2013-03-18,33,EGGS,111.0,0
2224302,2016-06-05,2,BEVERAGES,4313.0,46
2692159,2017-02-23,46,LADIESWEAR,12.0,0
2151511,2016-04-25,27,EGGS,224.0,1
57161,2013-02-02,13,BREAD/BAKERY,565.0,0
484339,2013-09-29,48,SCHOOL AND OFFICE SUPPLIES,0.0,0
2127688,2016-04-11,9,GROCERY II,10.0,0
2860897,2017-05-29,30,POULTRY,139.554,0
1155020,2014-10-12,17,LAWN AND GARDEN,0.0,0
461622,2013-09-17,11,HOME CARE,0.0,0
2063921,2016-03-07,2,BEAUTY,2.0,0
2122955,2016-04-09,25,SEAFOOD,7.0,0
1975291,2016-01-17,32,EGGS,177.0,0
1437980,2015-03-20,7,BREAD/BAKERY,641.466,0
47551,2013-01-27,42,SCHOOL AND OFFICE SUPPLIES,0.0,0
2429380,2016-09-28,23,LADIESWEAR,28.0,0
406144,2013-08-16,54,GROCERY II,7.0,0
415575,2013-08-22,2,CELEBRATION,0.0,0
1385916,2015-02-19,45,HOME AND KITCHEN I,65.0,0
1878040,2015-11-22,53,EGGS,109.0,1
2743700,2017-03-24,42,HARDWARE,1.0,0
688817,2014-01-23,36,DAIRY,347.0,0
492065,2013-10-04,16,BEAUTY,0.0,0
1473423,2015-04-09,50,CELEBRATION,0.0,0
2676895,2017-02-15,19,BABY CARE,1.0,0
8091,2013-01-05,36,CELEBRATION,0.0,0
2659509,2017-02-05,30,CELEBRATION,4.0,0
697784,2014-01-28,37,SEAFOOD,14.602,0
1904864,2015-12-07,7,BREAD/BAKERY,868.463,0
2136818,2016-04-17,15,BEAUTY,3.0,0
955249,2014-06-22,11,SCHOOL AND OFFICE SUPPLIES,0.0,0
1984187,2016-01-22,31,PREPARED FOODS,75.016,1
2857203,2017-05-27,27,PRODUCE,2981.08,10
189999,2013-04-17,4,HOME CARE,0.0,0
2281728,2016-07-07,30,DELI,76.0,5
1066370,2014-08-23,3,DAIRY,2035.0,1
385455,2013-08-05,24,HOME AND KITCHEN I,0.0,0
1287908,2014-12-26,45,HOME APPLIANCES,5.0,0
681682,2014-01-19,36,BABY CARE,0.0,0
757894,2014-03-03,24,HOME AND KITCHEN II,8.0,0
843045,2014-04-20,13,PLAYERS AND ELECTRONICS,0.0,0
2238023,2016-06-12,53,PREPARED FOODS,155.181,0
1396597,2015-02-25,45,BOOKS,0.0,0
60751,2013-02-04,13,SCHOOL AND OFFICE SUPPLIES,0.0,0
1133319,2014-09-29,9,AUTOMOTIVE,13.0,0
682835,2014-01-20,18,SEAFOOD,10.0,0
2146180,2016-04-22,27,PERSONAL CARE,308.0,2
1409596,2015-03-05,10,BABY CARE,0.0,0
1958827,2016-01-08,20,GROCERY II,8.0,0
2153845,2016-04-26,42,BABY CARE,0.0,0
1159693,2014-10-14,48,CLEANING,1252.0,3
1167416,2014-10-19,15,DAIRY,320.0,1
1667596,2015-07-27,49,CLEANING,1448.0,2
2443261,2016-10-06,13,CLEANING,492.0,23
1828632,2015-10-26,18,BEVERAGES,1858.0,2
391022,2013-08-08,30,BREAD/BAKERY,122.0,0
933582,2014-06-09,53,GROCERY I,1749.0,0
312573,2013-06-25,29,PRODUCE,0.0,0
2572862,2016-12-17,49,HOME APPLIANCES,0.0,0
2902393,2017-06-21,45,EGGS,404.0,3
1201900,2014-11-07,32,CLEANING,372.0,0
1316924,2015-01-12,1,PET SUPPLIES,0.0,0
1073477,2014-08-27,29,LAWN AND GARDEN,0.0,0
1493565,2015-04-21,16,HOME CARE,0.0,0
976896,2014-07-04,19,PRODUCE,345.744,0
1305370,2015-01-05,35,"LIQUOR,WINE,BEER",3.0,0
2751301,2017-03-28,6,PERSONAL CARE,248.0,8
1529192,2015-05-11,16,BREAD/BAKERY,274.0,1
62102,2013-02-04,50,PREPARED FOODS,159.968,0
471980,2013-09-22,51,HARDWARE,2.0,0
2234764,2016-06-11,13,BOOKS,0.0,0
2988796,2017-08-09,2,LADIESWEAR,13.0,0
44280,2013-01-25,50,PLAYERS AND ELECTRONICS,0.0,0
733698,2014-02-17,45,DELI,554.427,0
1045812,2014-08-11,52,DELI,0.0,0
971877,2014-07-01,28,PLAYERS AND ELECTRONICS,2.0,0
199721,2013-04-23,13,BREAD/BAKERY,179.0,0
2356337,2016-08-18,24,BREAD/BAKERY,686.467,10
363861,2013-07-24,19,BEVERAGES,767.0,0
2768677,2017-04-07,43,EGGS,135.0,2
156840,2013-03-30,1,MEATS,211.841,0
594869,2013-11-30,5,FROZEN FOODS,113.0,0
525244,2013-10-22,46,HOME AND KITCHEN II,0.0,0
1073730,2014-08-27,36,DELI,131.405,0
2820447,2017-05-06,46,BEVERAGES,9823.0,26
1746474,2015-09-10,12,HOME AND KITCHEN I,13.0,0
803402,2014-03-28,50,HOME APPLIANCES,1.0,0
2424325,2016-09-25,31,GROCERY II,15.0,3
1842363,2015-11-02,52,CELEBRATION,0.0,0
315970,2013-06-27,24,POULTRY,238.316,0
248204,2013-05-20,23,FROZEN FOODS,42.0,0
2036123,2016-02-20,39,MAGAZINES,6.0,0
822741,2014-04-08,43,HOME CARE,0.0,0
2122558,2016-04-09,14,SCHOOL AND OFFICE SUPPLIES,1.0,0
2638012,2017-01-24,27,PERSONAL CARE,213.0,7
551595,2013-11-06,36,AUTOMOTIVE,1.0,0
580799,2013-11-22,54,SEAFOOD,0.0,0
1249545,2014-12-04,2,AUTOMOTIVE,4.0,0
379616,2013-08-02,10,HOME APPLIANCES,0.0,0
1820112,2015-10-21,28,PRODUCE,1095.104,0
2546873,2016-12-03,2,SEAFOOD,37.798,1
215660,2013-05-02,10,BREAD/BAKERY,109.0,0
464386,2013-09-18,39,EGGS,239.0,0
631048,2013-12-21,15,"LIQUOR,WINE,BEER",112.0,0
1665747,2015-07-26,47,CELEBRATION,36.0,0
892062,2014-05-17,39,CELEBRATION,0.0,0
2690234,2017-02-22,42,DAIRY,817.0,17
850910,2014-04-24,34,BREAD/BAKERY,641.0,0
2452608,2016-10-11,25,HOME AND KITCHEN I,0.0,0
2966542,2017-07-27,45,CLEANING,2115.0,24
1059544,2014-08-19,38,GROCERY II,12.0,0
476918,2013-09-25,40,BEAUTY,0.0,0
1155530,2014-10-12,31,BEAUTY,4.0,0
725711,2014-02-13,21,DAIRY,0.0,0
1683067,2015-08-05,33,BABY CARE,0.0,0
1613794,2015-06-27,39,POULTRY,272.114,1
1654088,2015-07-20,2,PREPARED FOODS,89.346,0
2597061,2017-01-01,28,PLAYERS AND ELECTRONICS,0.0,0
2519448,2016-11-17,5,PRODUCE,880.904,4
1304517,2015-01-05,11,PLAYERS AND ELECTRONICS,0.0,0
1838764,2015-10-31,51,BOOKS,0.0,0
464692,2013-09-18,47,LADIESWEAR,0.0,0
38077,2013-01-22,27,POULTRY,184.56,0
44735,2013-01-26,14,LAWN AND GARDEN,0.0,0
2732602,2017-03-18,31,BOOKS,0.0,0
7785,2013-01-05,27,PRODUCE,0.0,0
1705602,2015-08-18,15,PRODUCE,985.997,86
1274949,2014-12-18,31,PLAYERS AND ELECTRONICS,10.0,0
1698000,2015-08-13,51,HOME CARE,279.0,0
556588,2013-11-09,26,EGGS,38.0,0
609404,2013-12-08,8,PET SUPPLIES,0.0,0
356323,2013-07-19,7,"LIQUOR,WINE,BEER",200.0,0
1518464,2015-05-05,15,BEAUTY,4.0,0
2624983,2017-01-17,11,SCHOOL AND OFFICE SUPPLIES,3.0,0
9231,2013-01-06,18,MEATS,161.319,0
1963013,2016-01-10,38,DAIRY,1239.0,14
809147,2014-04-01,12,LAWN AND GARDEN,0.0,0
1459692,2015-04-02,16,BEVERAGES,595.0,0
2573546,2016-12-18,19,DAIRY,452.0,9
2469909,2016-10-21,10,MEATS,104.979,0
499594,2013-10-08,27,CLEANING,592.0,0
264080,2013-05-29,19,HARDWARE,0.0,0
55925,2013-02-01,28,MAGAZINES,0.0,0
1850837,2015-11-07,4,SEAFOOD,46.688,0
260943,2013-05-27,30,GROCERY I,2114.0,0
2805358,2017-04-28,22,POULTRY,176.16899,12
1998169,2016-01-30,24,LADIESWEAR,22.0,0
215239,2013-05-01,48,GROCERY II,32.0,0
574183,2013-11-19,2,HOME AND KITCHEN II,0.0,0
646906,2013-12-31,10,CLEANING,851.0,0
145804,2013-03-23,5,EGGS,121.0,0
2330778,2016-08-03,7,LINGERIE,5.0,0
2209441,2016-05-27,51,PERSONAL CARE,359.0,6
299958,2013-06-18,25,LINGERIE,13.0,0
1373796,2015-02-12,6,CELEBRATION,0.0,0
1093354,2014-09-07,36,SCHOOL AND OFFICE SUPPLIES,5.0,0
1262084,2014-12-11,20,SEAFOOD,0.0,0
1747639,2015-09-10,44,PERSONAL CARE,422.0,3
2596231,2016-12-31,54,"LIQUOR,WINE,BEER",277.0,2
954444,2014-06-21,39,HOME CARE,0.0,0
393507,2013-08-09,5,HOME AND KITCHEN I,0.0,0
2426646,2016-09-26,46,MEATS,854.625,0
2881010,2017-06-09,45,FROZEN FOODS,488.674,3
649736,2014-01-01,39,SEAFOOD,0.0,0
1989652,2016-01-25,35,HOME AND KITCHEN II,10.0,1
853910,2014-04-26,19,BEAUTY,4.0,0
37681,2013-01-22,16,POULTRY,67.403,0
876796,2014-05-09,10,LADIESWEAR,0.0,0
1810614,2015-10-16,12,BEVERAGES,1454.0,1
882034,2014-05-11,8,EGGS,298.0,0
854242,2014-04-26,28,BOOKS,0.0,0
1683190,2015-08-05,36,PERSONAL CARE,216.0,0
1297853,2015-01-01,24,PREPARED FOODS,0.0,0
1062635,2014-08-21,25,BEAUTY,1.0,0
2756901,2017-04-01,13,HOME AND KITCHEN I,5.0,0
657219,2014-01-05,49,MEATS,378.118,0
1933505,2015-12-24,10,BEAUTY,3.0,0
2982680,2017-08-05,48,DAIRY,1682.0,24
459249,2013-09-15,44,LINGERIE,30.0,0
363031,2013-07-23,44,SCHOOL AND OFFICE SUPPLIES,0.0,0
1174623,2014-10-23,17,LINGERIE,4.0,0
455058,2013-09-13,27,LINGERIE,2.0,0
959966,2014-06-24,43,PREPARED FOODS,72.0,0
402348,2013-08-14,48,GROCERY I,3821.0,0
738746,2014-02-20,37,DAIRY,775.0,0
903340,2014-05-23,54,SCHOOL AND OFFICE SUPPLIES,0.0,0
368410,2013-07-26,45,SCHOOL AND OFFICE SUPPLIES,0.0,0
272623,2013-06-02,9,EGGS,256.0,0
2709440,2017-03-05,31,DAIRY,1007.0,31
2603260,2017-01-04,51,"LIQUOR,WINE,BEER",92.0,4
2797503,2017-04-23,51,PLAYERS AND ELECTRONICS,12.0,0
899504,2014-05-21,47,MAGAZINES,0.0,0
2392653,2016-09-07,42,LINGERIE,7.0,0
2590322,2016-12-28,39,LAWN AND GARDEN,16.0,0
1180252,2014-10-26,25,CLEANING,438.0,2
1180619,2014-10-26,35,FROZEN FOODS,27.0,0
319321,2013-06-29,19,GROCERY II,18.0,0
1781042,2015-09-29,31,SEAFOOD,6.0,0
1873117,2015-11-20,16,BOOKS,0.0,0
1895009,2015-12-02,3,HOME APPLIANCES,2.0,0
2594763,2016-12-31,14,CELEBRATION,16.0,1
1494419,2015-04-21,4,HARDWARE,0.0,0
2606778,2017-01-06,50,DELI,440.744,71
1088369,2014-09-04,46,PREPARED FOODS,221.986,0
2081061,2016-03-16,5,HOME AND KITCHEN I,17.0,0
2221569,2016-06-03,42,DELI,141.501,41
174940,2013-04-09,18,CLEANING,481.0,0
2929685,2017-07-07,11,FROZEN FOODS,70.0,0
501263,2013-10-09,23,PET SUPPLIES,0.0,0
2406235,2016-09-15,24,CLEANING,1090.0,40
2010372,2016-02-06,17,GROCERY I,4601.0,3
461393,2013-09-16,54,LAWN AND GARDEN,0.0,0
348346,2013-07-15,32,SCHOOL AND OFFICE SUPPLIES,0.0,0
1667675,2015-07-27,50,LAWN AND GARDEN,2.0,0
2971865,2017-07-30,44,HOME APPLIANCES,2.0,0
1441000,2015-03-22,40,"LIQUOR,WINE,BEER",0.0,0
2575577,2016-12-19,25,PET SUPPLIES,5.0,1
1105295,2014-09-14,21,PET SUPPLIES,0.0,0
2502890,2016-11-08,36,BREAD/BAKERY,494.0,5
2797153,2017-04-23,42,CLEANING,1206.0,32
1188857,2014-10-31,16,SEAFOOD,0.0,0
1271510,2014-12-16,35,LAWN AND GARDEN,0.0,0
1383865,2015-02-18,38,EGGS,183.0,1
1185269,2014-10-29,16,DAIRY,213.0,5
1314094,2015-01-10,30,BABY CARE,0.0,0
1739970,2015-09-06,3,GROCERY I,13017.0,13
2782640,2017-04-15,35,HARDWARE,1.0,0
1046237,2014-08-12,15,BREAD/BAKERY,147.0,0
1780659,2015-09-29,21,GROCERY I,3241.662,13
386791,2013-08-06,11,SCHOOL AND OFFICE SUPPLIES,0.0,0
1420106,2015-03-10,54,HOME APPLIANCES,0.0,0
1963459,2016-01-10,5,PERSONAL CARE,398.0,0
1501032,2015-04-25,25,PLAYERS AND ELECTRONICS,0.0,0
2990101,2017-08-09,7,BOOKS,0.0,0
2929801,2017-07-07,14,POULTRY,65.792,15
1538917,2015-05-16,38,POULTRY,221.277,0
1657174,2015-07-21,7,GROCERY II,18.0,0
871315,2014-05-05,7,HOME AND KITCHEN II,0.0,0
333193,2013-07-06,8,PERSONAL CARE,260.0,0
2084261,2016-03-18,4,HARDWARE,1.0,0
1592884,2015-06-15,52,CLEANING,0.0,0
1258097,2014-12-09,1,BREAD/BAKERY,359.913,0
1896337,2015-12-03,17,PERSONAL CARE,209.0,0
1733950,2015-09-03,10,SCHOOL AND OFFICE SUPPLIES,5.0,0
830215,2014-04-12,53,BABY CARE,0.0,0
1352177,2015-01-31,49,BEAUTY,4.0,0
1844416,2015-11-04,10,GROCERY II,2.0,0
1388486,2015-02-21,18,FROZEN FOODS,67.0,0
2750822,2017-03-28,42,DAIRY,894.0,34
2927484,2017-07-05,49,LINGERIE,2.0,0
2250071,2016-06-19,41,SEAFOOD,4.4,1
236233,2013-05-13,37,LADIESWEAR,0.0,0
1011365,2014-07-23,36,HARDWARE,0.0,0
2505696,2016-11-10,15,CELEBRATION,6.0,0
2738015,2017-03-21,33,BREAD/BAKERY,279.0,9
10717,2013-01-07,1,PERSONAL CARE,154.0,0
1604789,2015-06-22,36,SEAFOOD,1.0,0
1979592,2016-01-19,52,LINGERIE,0.0,0
408235,2013-08-18,13,PERSONAL CARE,96.0,0
478280,2013-09-26,29,FROZEN FOODS,0.0,0
2498174,2016-11-05,53,DAIRY,687.0,27
1555850,2015-05-26,13,SEAFOOD,0.0,0
821508,2014-04-08,1,CELEBRATION,0.0,0
2267144,2016-06-29,21,FROZEN FOODS,26.0,4
2297811,2016-07-16,31,LINGERIE,12.0,0
224903,2013-05-07,2,DAIRY,396.0,0
504245,2013-10-10,8,BREAD/BAKERY,458.95,0
684722,2014-01-21,21,BREAD/BAKERY,0.0,0
1897232,2015-12-03,41,PREPARED FOODS,32.367,0
2817073,2017-05-04,50,POULTRY,386.314,0
1407561,2015-03-03,52,GROCERY I,0.0,0
1579684,2015-06-08,32,CLEANING,302.0,0
372232,2013-07-28,52,PERSONAL CARE,0.0,0
777321,2014-03-14,2,CELEBRATION,10.0,0
1151886,2014-10-10,29,LINGERIE,0.0,0
1458899,2015-04-01,43,BEAUTY,1.0,0
1947712,2016-01-01,9,LADIESWEAR,0.0,0
2552617,2016-12-06,31,BABY CARE,3.0,0
670727,2014-01-13,29,BEAUTY,0.0,0
525821,2013-10-23,12,SEAFOOD,1.0,0
2910093,2017-06-26,11,LINGERIE,9.0,0
325305,2013-07-02,36,MEATS,204.707,0
2006772,2016-02-04,16,DELI,149.0,0
2818229,2017-05-05,33,PREPARED FOODS,25.0,0
943257,2014-06-15,25,HOME CARE,0.0,0
2669180,2017-02-10,51,DAIRY,1910.0,20
1953343,2016-01-05,17,CLEANING,1386.0,0
1928163,2015-12-21,10,CELEBRATION,0.0,0
558930,2013-11-10,41,DELI,258.413,0
620212,2013-12-15,11,EGGS,186.0,0
1377348,2015-02-14,54,PLAYERS AND ELECTRONICS,0.0,0
1132149,2014-09-29,25,HOME CARE,73.0,0
1333047,2015-01-21,12,GROCERY I,2253.0,0
2692557,2017-02-23,8,LINGERIE,20.0,0
2969665,2017-07-29,32,POULTRY,51.183,0
451897,2013-09-11,38,POULTRY,76.894,0
610557,2013-12-09,4,MEATS,302.887,0
1712188,2015-08-21,5,HOME AND KITCHEN II,27.0,0
1691534,2015-08-10,20,LAWN AND GARDEN,5.0,0
332063,2013-07-06,26,HOME APPLIANCES,0.0,0
1819267,2015-10-20,54,EGGS,59.0,0
290429,2013-06-12,8,PREPARED FOODS,244.173,0
189615,2013-04-17,29,PRODUCE,0.0,0
2437536,2016-10-02,51,MEATS,640.165,0
785137,2014-03-18,39,BABY CARE,0.0,0
834386,2014-04-15,20,HARDWARE,0.0,0
1868612,2015-11-17,39,LAWN AND GARDEN,9.0,1
166164,2013-04-04,21,DELI,0.0,0
961450,2014-06-25,35,POULTRY,48.753002,0
444750,2013-09-07,38,DELI,208.973,0
932706,2014-06-09,29,PLAYERS AND ELECTRONICS,0.0,0
2102437,2016-03-28,5,CLEANING,1003.0,29
616969,2013-12-13,20,BABY CARE,0.0,0
1495566,2015-04-22,22,CELEBRATION,0.0,0
476765,2013-09-25,36,HARDWARE,1.0,0
1764304,2015-09-20,12,PERSONAL CARE,240.0,1
2746609,2017-03-26,24,LADIESWEAR,22.0,0
1810104,2015-10-15,47,LINGERIE,3.0,1
1320161,2015-01-13,5,PREPARED FOODS,96.798,0
663274,2014-01-09,2,CLEANING,868.0,0
618398,2013-12-14,10,FROZEN FOODS,401.732,0
2048047,2016-02-27,24,BABY CARE,0.0,0
28552,2013-01-17,10,CLEANING,572.0,0
345251,2013-07-13,46,BREAD/BAKERY,461.589,0
1095403,2014-09-08,44,BABY CARE,0.0,0
77776,2013-02-13,40,POULTRY,55.478,0
769556,2014-03-09,50,PREPARED FOODS,163.546,0
2068627,2016-03-09,50,"LIQUOR,WINE,BEER",87.0,0
978883,2014-07-05,25,BOOKS,0.0,0
2921366,2017-07-02,28,DAIRY,2077.0,42
2724402,2017-03-13,50,LINGERIE,5.0,0
2821810,2017-05-07,34,GROCERY II,2.0,1
2507854,2016-11-11,25,LADIESWEAR,0.0,0
931815,2014-06-08,53,PLAYERS AND ELECTRONICS,0.0,0
516814,2013-10-18,10,BABY CARE,0.0,0
569760,2013-11-16,45,HOME AND KITCHEN I,0.0,0
1624219,2015-07-03,31,PERSONAL CARE,289.0,0
1950822,2016-01-03,45,PLAYERS AND ELECTRONICS,57.0,0
2549779,2016-12-04,51,BABY CARE,0.0,0
784422,2014-03-18,19,GROCERY I,2381.0,0
46255,2013-01-26,7,"LIQUOR,WINE,BEER",225.0,0
528300,2013-10-24,32,BEVERAGES,295.0,0
1583313,2015-06-10,34,CELEBRATION,6.0,0
423598,2013-08-26,44,EGGS,598.0,0
937459,2014-06-12,12,POULTRY,223.844,12
2794615,2017-04-22,21,EGGS,182.0,1
1665987,2015-07-26,53,HOME AND KITCHEN I,14.0,1
2525410,2016-11-21,18,LADIESWEAR,0.0,0
1762311,2015-09-18,7,GROCERY I,3684.0,9
667343,2014-01-11,33,HOME APPLIANCES,0.0,0
2816963,2017-05-04,48,HOME APPLIANCES,0.0,0
592545,2013-11-29,34,PRODUCE,0.0,0
2838191,2017-05-16,43,PET SUPPLIES,3.0,0
2861966,2017-05-30,11,DAIRY,513.0,15
2204926,2016-05-25,25,SCHOOL AND OFFICE SUPPLIES,0.0,0
622187,2013-12-16,17,BREAD/BAKERY,198.0,0
1638194,2015-07-11,24,DAIRY,1428.0,2
2092727,2016-03-23,27,SEAFOOD,35.225,0
244232,2013-05-18,11,SEAFOOD,4.0,0
272410,2013-06-02,51,POULTRY,656.68,0
228213,2013-05-09,12,HOME CARE,0.0,0
1481757,2015-04-14,34,MEATS,185.506,0
616557,2013-12-12,9,HOME CARE,0.0,0
1697725,2015-08-13,44,CLEANING,1741.0,2
868552,2014-05-04,29,PERSONAL CARE,0.0,0
839591,2014-04-18,17,BREAD/BAKERY,123.0,0
1385070,2015-02-19,21,PLAYERS AND ELECTRONICS,0.0,0
749193,2014-02-26,3,PLAYERS AND ELECTRONICS,0.0,0
279612,2013-06-06,54,BEVERAGES,308.0,0
2855357,2017-05-26,25,SEAFOOD,13.0,2
2694967,2017-02-25,25,"LIQUOR,WINE,BEER",2195.0,3
693133,2014-01-25,8,BABY CARE,0.0,0
1733015,2015-09-02,34,LAWN AND GARDEN,0.0,0
